id,control_area,gap_description,priority,owner,eta_weeks,status,evidence_needed,notes
R-001,Logical Access,No documented access review process; no IAM snapshots, MFA enforcement unknown, missing RBAC enforcement,High,Security/Ops,2,open,"IAM policies export; MFA logs; access review report","Start by exporting IAM users and roles from GCP/AWS and enforce MFA"
R-002,Change Management,No formal change ticket linking PRs; emergency change procedures undocumented,High,Engineering Manager,3,open,"PR history exports; change ticket templates; deployment logs","Enforce branch protection rules and require change ticket ID in PR template"
R-003,Secrets Management,Env vars and .env usage; no secret manager usage; risk of committed secrets,High,DevOps/Security,2,open,"Secret Manager configs; audit logs; rotated secrets evidence","Migrate secrets to GCP Secret Manager or AWS Secrets Manager and rotate any exposed keys"
R-004,Logging & Monitoring,No centralized SIEM config or retention policy documented,High,Ops/SRE,4,open,"Logging configuration; retention policies; sample logs","Configure Cloud Logging export to Datadog/SIEM, set retention 12-24 months"
R-005,Backup & Recovery,No backup schedule or restore test records for persisted data,High,Ops/SRE,4,open,"Backup schedules; encrypted backup configs; restore test reports","Identify persisted systems and implement encrypted backups and quarterly restore tests"
R-006,Vendor Management,No vendor manifest or SOC reports collected for third parties,Medium,Legal/Security,3,open,"Vendor contracts; SOC/ISO reports","Collect vendor security reports and include compensating controls where required"
R-007,Data Classification,No data classification or retention policies documented,Medium,Product/Security,3,open,"Data classification docs; retention/deletion records","Create classification levels and map data flows"
R-008,System Operations,No patch management evidence or scheduled maintenance logs,Medium,Ops/SRE,6,open,"Patch schedules; maintenance tickets","Implement patching schedule and record evidence"
R-009,Evidence Automation,No automated evidence collectors for IAM/CI logs/backups,Medium,DevOps,6,open,"Scripts/exports for IAM, CI/CD, backups","Implement scripts to export evidence to secure S3 bucket for auditors"
R-010,Change Management (CI),CI/CD deploy logs not centralized for audit,Low,DevOps,3,open,"Cloud Build logs; artifact registry history","Ensure build logs are exported and retained"
